mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
600,2.0,28800925.744934082,28811.783651828766,73509.8225364685,55528.90979063511,16900.87593460083,174751.3919135332,0.001000376998537854,0.00255234235133565,0.0019280251712187524,0.0005868171073484885,0.006067561628440745
600,2.5,64902375.886535645,135991.71769714355,279181.54029655457,168103.94339466095,44749.95933532715,628027.1607236862,0.0020953272640571513,0.004301561175273898,0.0025901046163324666,0.0006894964741130652,0.009676489529776582
600,3.0,130768647.08740234,310012.8871231079,604683.2076702118,365941.83236694336,80530.25992584229,1361168.1870861053,0.0023706973653700295,0.004624068697950644,0.0027983912085773697,0.0006158223834190008,0.010408979655317044
600,3.5,235382551.64794922,562996.4268302917,1227642.879951477,715292.2057495117,176874.90274047852,2682806.415271759,0.002391835855668433,0.005215522014510259,0.0030388497394630218,0.0007514359135889653,0.011397643523230678
700,0.5,245947.013245821,903.8411182612181,2197.251371771097,1733.2244347929955,603.749113291502,5438.066038116813,0.003674942445256857,0.008933840434870301,0.00704714569174564,0.0024547934342592005,0.022110722006132
700,1.0,1398491.2246704102,2515.635022163391,6390.574817597866,4707.0705144405365,1401.8434383869171,15015.12379258871,0.001798820741800696,0.004569620963552322,0.0033658205581875403,0.001002397021631149,0.010736659285171707
700,1.5,5487697.132110596,8156.781844258308,21052.449988603592,16961.146036207676,5043.066393852234,51213.44426292181,0.0014863760969113778,0.003836299540916303,0.0030907584051899626,0.000918976808020862,0.009332410851038505
700,2.0,16204026.369628906,22448.696758508682,63293.339774131775,46457.49541711807,14987.626857757568,147187.1588075161,0.0013853776985073363,0.003906025473567609,0.0028670340542146385,0.0009249322678126946,0.009083369494102279
700,2.5,37110096.20391846,102466.25411081314,223711.59483909607,144877.71655631065,31110.26530647278,502165.83081269264,0.0027611422386987433,0.006028321608486543,0.003903997331621388,0.0008383234884523917,0.013531784667259066
700,3.0,75333054.63806152,211163.748588562,471236.2871055603,293935.65071487427,69055.74979686737,1045391.436205864,0.002803068979521679,0.006255372085595363,0.003901815107950836,0.0009166726363167731,0.013876928809384651
700,3.5,136154966.4465332,409776.5228424072,924243.9419250488,550761.3391418457,147761.5884399414,2032543.3923492432,0.003009633313694236,0.006788176487766907,0.004045106495311903,0.0010852456748095636,0.01492816197158261
800,0.5,124504.62459146976,495.5443705022335,1638.006571367383,1363.5765911489725,533.5358691290021,4030.663402147591,0.003980128225182287,0.013156190597273673,0.01095201560281959,0.004285269490026288,0.032373603915301835
800,1.0,795270.3885984421,1629.6780726909637,5400.662065029144,4028.0016302466393,1227.2324387431145,12285.574206709862,0.002049212564751787,0.006790975927755956,0.00506494607116638,0.0015431637545388153,0.015448298318212938
800,1.5,3412921.479663849,5618.587070584297,16680.418713510036,13730.90357990563,4660.661154270172,40690.570518270135,0.0016462690700805962,0.004887431138659818,0.004023211099851625,0.0013655928453206658,0.011922504153912706
800,2.0,10124004.048461914,16935.52012717724,48090.32882094383,39521.734399318695,11752.56296157837,116300.14630901814,0.001672808509964016,0.004750129355020353,0.0039037651713822678,0.0011608611479530051,0.011487564184319642
800,2.5,23577107.124176025,69777.78086948395,171744.84634792805,107542.8733830452,25352.58734703064,374418.08794748783,0.002959556509709948,0.007284390126548666,0.0045613260701000274,0.0010753052617313696,0.01588057796809001
800,3.0,47817018.46435547,144998.30084991455,351419.25696754456,219827.8873448372,55498.04716730117,771743.4923295975,0.0030323576313734724,0.007349250711428299,0.004597272987831829,0.0011606337858281863,0.016139515116461788
