mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
1500,10,66652.60109841824,183.80487205833197,541.9912266135216,501.5539018921554,195.69453823566437,1423.0445387996733,0.0027576549006231347,0.008131584029454835,0.007524896157489314,0.0029360375290786436,0.02135017261664593
1500,20,66652.60048478842,148.55823609232903,526.5645947754383,497.487009704113,164.0902757421136,1336.700116313994,0.0022288438112213383,0.007900135792835447,0.007463879969959318,0.002461873573553407,0.02005473314756951
1500,30,66652.61390656233,122.10958532989025,476.0392760038376,461.14532509446144,167.00379985570908,1226.2979862838984,0.0018320299561105115,0.0071420946321951945,0.006918638265873907,0.002505585153641913,0.018398348007821527
1500,40,66652.61857837439,164.12111192941666,533.4541775584221,446.2891475856304,160.98612222075462,1304.8505592942238,0.002462335545548486,0.00800349917132142,0.006695748150702515,0.002415300788692299,0.01957688365626472
1500,50,,,,,,,,,,,
1500,60,,,,,,,,,,,
1500,70,,,,,,,,,,,
1500,80,,,,,,,,,,,
1500,90,,,,,,,,,,,
1500,100,,,,,,,,,,,
2000,1,22539.397213310003,144.03167229890823,168.633742749691,62.65271385014057,11.173746440559626,386.49187533929944,0.006390218466616951,0.007481732592658207,0.002779697844498822,0.0004957429133890628,0.017147391817163044
2000,5,22539.397559762,89.965591898188,245.38953205943108,167.6207881681621,44.37668740795925,547.3525995337404,0.0039914816560491055,0.010887138017278142,0.007436790966738335,0.0019688497569776147,0.024284260397043195
2000,10,22539.39548447728,38.06031023990363,126.85829961718993,140.1166532090865,51.084445517510176,356.1197085836902,0.0016886127343617306,0.005628292014511051,0.006216522235726501,0.0022664514473199455,0.015799878431919226
2000,20,22539.391845464706,34.836539475247264,104.5646811593324,117.53571627475321,48.267796505242586,305.20473341457546,0.0015455847129370061,0.004639197094413731,0.005214680018014919,0.002141486196086291,0.013540948021451947
2000,30,22539.395550489426,29.325221855193377,120.37604023888707,115.10204257559963,55.82076857658103,320.6240732462611,0.0013010651412325297,0.005340695138396167,0.005106704938815463,0.0024765867590166553,0.014225051977460814
2000,40,22539.3928219378,36.14875863492489,124.67342661879957,126.62279806286097,49.901425272226334,337.34640858881176,0.0016038035682904895,0.00553135692712422,0.005617844236674283,0.00221396493093003,0.014966969663019022
2000,50,22539.396391808987,41.95849787630141,129.84182117506862,112.48562986776233,47.35067851096392,331.63662743009627,0.001861562623369519,0.005760660974144555,0.004990622992399237,0.0021007962097943124,0.014713642799707622
2000,60,,,,,,,,,,,
2000,70,,,,,,,,,,,
2000,80,,,,,,,,,,,
2000,90,,,,,,,,,,,
2000,100,,,,,,,,,,,
2500,1,9901.33253954351,50.18829603865743,46.83304820396006,18.532054103910923,3.145275467075408,118.69867381360382,0.005068842586411233,0.00472997427537357,0.0018716727298975582,0.0003176618353654868,0.011988151427047847
2500,5,9901.332767158747,29.504336801357567,64.22970348782837,52.74674027925357,13.305094882845879,159.7858754512854,0.0029798348863921712,0.006486975541400727,0.005327236395306972,0.001343768076049005,0.016137814899148877
2500,10,9901.33298330009,12.041540279053152,40.56481147464365,44.57589679816738,13.711128470487893,110.89337702235207,0.001216153451193168,0.004096904077770294,0.004502009666107637,0.0013847760189071034,0.011199843213978202
