mPhi,yukawa,n_events,n_overflow,total_sumw,total_sumw2,direct_source_count,direct_sumw,direct_sumw2,direct_fraction,direct_uncertainty,associated_source_count,associated_sumw,associated_sumw2,associated_fraction,associated_uncertainty,pair_source_count,pair_sumw,pair_sumw2,pair_fraction,pair_uncertainty
1500,2.5,207329,0,7244503.8125,278057995.70703125,181621,7094570.3125,277131652.83203125,0.9793038275801169,0.00013852486498647676,23662,147887.5,924296.875,0.020413751421433184,0.00013820348435302266,2046,2046.0,2046.0,0.0002824209984498507,6.275726039289841e-06
2000,2.5,210683,0,7856725.25,304675294.390625,199396,7788906.25,304254150.390625,0.9913680321199981,8.409842729656787e-05,10768,67300.0,420625.0,0.008565909823561669,8.402128145494987e-05,519,519.0,519.0,6.605805644024526e-05,2.903147099811142e-06
3000,2.5,212775,0,8233946.8125,321166482.45703125,210421,8219570.3125,321076965.33203125,0.9982539964943452,3.647167962307787e-05,2290,14312.5,89453.125,0.0017382308054591895,3.645730309795259e-05,64,64.0,64.0,7.772700195590437e-06,9.71727243301419e-07
4000,2.5,212684,0,8291962.8125,323805759.39453125,212197,8288945.3125,323786926.26953125,0.9996360933993275,1.6563036778835633e-05,482,3012.5,18828.125,0.00036330360713373016,1.6560790595849787e-05,5,5.0,5.0,6.029935388111704e-07,2.696699208855289e-07
600,3.0,198232,0,8689376.0,655551272.0,99035,8021835.0,649768635.0,0.923177337475096,0.0003406739125681685,71043,639387.0,5754483.0,0.0735826139874716,0.0003346729567348152,28154,28154.0,28154.0,0.0032400485374323774,2.1484956917238526e-05
800,3.0,198900,0,10668276.0,825220980.0,125057,10129617.0,820498977.0,0.9495083366797035,0.00023618803275436538,58102,522918.0,4706262.0,0.049016167185775845,0.00023391856802886158,15741,15741.0,15741.0,0.0014754961345207042,1.2396944699470464e-05
1000,3.0,201512,0,12304128.0,966317592.0,146717,11884077.0,962610237.0,0.9658609695867924,0.000173941346218902,45657,410913.0,3698217.0,0.03339635283378066,0.0001729609502586258,9138,9138.0,9138.0,0.0007426775794270021,7.98692649970628e-06
1500,3.0,207329,0,14926305.0,1193534049.0,181621,14711301.0,1191615381.0,0.9855956313367575,9.734091092721998e-05,23662,212958.0,1916622.0,0.01426729522142285,9.719896323748138e-05,2046,2046.0,2046.0,0.00013707344181966,3.0465529693056384e-06
2000,3.0,210683,0,16248507.0,1309109883.0,199396,16151076.0,1308237156.0,0.9940036952318142,5.868774910356601e-05,10768,96912.0,872208.0,0.005964363371970114,5.8656852697574566e-05,519,519.0,519.0,3.194139621566461e-05,1.4038298770500565e-06
3000,3.0,212775,0,17064775.0,1380757735.0,210421,17044101.0,1380572181.0,0.9987884985298664,2.5349668872540285e-05,2290,20610.0,185490.0,0.001207751054438163,2.5344589685837835e-05,64,64.0,64.0,3.750415695489686e-06,4.688713290838172e-07
4000,3.0,212684,0,17192300.0,1392263564.0,212197,17187957.0,1392224517.0,0.9997473869115825,1.1503868004887662e-05,482,4338.0,39042.0,0.00025232226054687273,1.150310638776333e-05,5,5.0,5.0,2.908278706164969e-07,1.3006367145278288e-07
600,3.5,198232,0,15759870.4375,2240833837.2929688,99035,14861439.6875,2230144793.1054688,0.9429925040587759,0.00025971078430174,71043,870276.75,10660890.1875,0.05522105993518895,0.0002563080184691937,28154,28154.0,28154.0,0.0017864360060352179,1.1905501566887069e-05
