mMed,yukawa,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
3000,2.5,189529.5229101181,327.50777435302734,514.8533630371094,335.9734649658203,85.60639190673828,1263.9409942626953,0.0017280040034097675,0.0027164810797380198,0.0017726708736831008,0.00045167840129759624,0.0066688343581284846
3000,3.0,387335.5307292938,651.1596221923828,1132.0127868652344,826.9797058105469,192.53131484985352,2802.6834297180176,0.0016811254597954089,0.002922563764635345,0.0021350473690174253,0.0004970659791714598,0.00723580257261964
3000,3.5,703080.1172304153,1064.3719787597656,2143.464599609375,1337.0899505615234,282.93525314331055,4827.861782073975,0.0015138701161861283,0.0030486775931780658,0.0019017604363903932,0.00040242249241502335,0.006866730638169611
3500,0.1,0.426372490205722,,,,,,,,,,
3500,0.5,174.3561380635947,0.3733069822192192,0.7806845903396606,0.573944628238678,0.13104404509067535,1.8589802458882332,0.002141060167798963,0.004477528574617279,0.0032917947977795727,0.0007515883670403293,0.010661971907236143
3500,1.0,2757.4208665266633,3.4840219616889954,10.589227676391602,6.946041584014893,1.4145569950342178,22.433848217129707,0.0012635075058663723,0.0038402653018761463,0.0025190356932216704,0.0005130000328227151,0.008135808533786905
3500,1.5,13890.55720217526,17.944007873535156,45.941022872924805,30.06328010559082,7.5604294538497925,101.50874030590057,0.001291813396133967,0.0033073563719769605,0.0021642961954674443,0.0005442855418835056,0.0073077515054618776
3500,2.0,44127.00302809477,52.269076347351074,161.29959869384766,96.57035827636719,21.115398406982422,331.25443172454834,0.0011845145321578356,0.003655349052169971,0.002188464016350324,0.0004785142193667373,0.007506841820044868
3500,2.5,105717.22020566463,145.80319023132324,352.08216094970703,215.91699600219727,57.417555809020996,771.2199029922485,0.0013791810827760555,0.0033304144799187734,0.002042401375879422,0.0005431239650202645,0.007295120903594516
3500,3.0,215738.1536602974,279.1690444946289,710.4301910400391,564.9015808105469,96.09232234954834,1650.5931386947632,0.0012940179553692212,0.0032930206316620597,0.0026184593277832737,0.0004454118139012902,0.007650909728715845
3500,3.5,390508.09698820114,532.637939453125,1342.602783203125,892.4319458007812,189.3684425354004,2957.0411109924316,0.001363961320036901,0.0034380920486872532,0.002285309709795199,0.00048492833822373215,0.007572291416743085
4000,0.1,0.20235796447423127,,,,,,,,,,
4000,0.5,103.68950086529367,0.22163261473178864,0.37727338820695877,0.27922168374061584,0.05041468609124422,0.9285423727706075,0.0021374643805038528,0.0036384916993388427,0.0026928636111708325,0.0004862082049824846,0.008955027895996013
4000,1.0,1634.5886925887316,1.842663824558258,4.72062623500824,4.508784532546997,0.8291242346167564,11.901198826730251,0.0011272951005429958,0.002887959678426557,0.002758360285367166,0.0005072372263285729,0.007280852290665292
4000,1.5,8310.883636064827,12.647646188735962,27.031065940856934,22.297852993011475,3.809383511543274,65.78594863414764,0.0015218172630707865,0.003252490002814676,0.0026829701833690246,0.0004583608288067673,0.007915638278061254
4000,2.0,26332.74848535657,34.60015821456909,85.84171676635742,58.589040756225586,13.185643911361694,192.2165596485138,0.0013139592410495989,0.0032598844292343167,0.0022249496967172446,0.0005007317758225704,0.0072995251428237306
4000,2.5,63342.05918073654,95.01717948913574,200.83549880981445,139.0664520263672,29.28838348388672,464.2075138092041,0.001500064581386899,0.0031706499821352848,0.0021954835984975335,0.00046238445454254893,0.007328582616562266
4000,3.0,128987.69090354443,183.06754684448242,416.5644226074219,292.9160461425781,53.749595642089844,946.2976112365723,0.0014192636953349162,0.003229489726418346,0.0022708837106140425,0.0004167032936676353,0.00733634042603494
4000,3.5,232842.74527549744,341.68406677246094,799.3495025634766,519.3355255126953,108.07840251922607,1768.447497367859,0.0014674456202970097,0.0034330015376587896,0.0022304131696189297,0.0004641690785398904,0.007595029406114619
