signal,mMed,mDark,rinv,yukawa,year,category,region,cross_section,signal_yield_unit_xsec,signal_yield_scaled,background_yield,signal_background_ratio
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,3PSVJ,C,19.64999961853028,31.382280349731445,616.6617969008331,748.0,0.8244141669797234
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2016,3PSVJ,D,19.64999961853028,11.5074462890625,226.12131519033576,344.0,0.6573294046230691
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,0SVJ,A,19.64999961853028,9.999999747378752e-05,0.0019649999122129,33092.0,5.937990789958157e-08
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,0SVJ,B,19.64999961853028,5.31043004989624,104.34994845469284,4860.0,0.0214711828096075
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,0SVJ,C,19.64999961853028,43.13645935058594,847.6314097837604,44985.0,0.0188425343955487
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,0SVJ,D,19.64999961853028,1.0535340309143066,20.70194330557479,5899.0,0.0035093987634471
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,1SVJ,A,19.64999961853028,39.48493981361389,775.8790522752039,22946.0,0.0338132594907698
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,1SVJ,B,19.64999961853028,63.27236348390579,1243.3019183222575,5215.0,0.2384088050474128
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,1SVJ,C,19.64999961853028,91.20790100097656,1792.2352198761366,31472.0,0.0569469757205178
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,1SVJ,D,19.64999961853028,104.86341094970705,2060.565985159527,6792.0,0.3033813287926276
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,2SVJ,A,19.64999961853028,20.04387664794922,393.86216848607006,5918.0,0.0665532559118063
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,2SVJ,B,19.64999961853028,56.56982582807541,1111.597055942006,1944.0,0.5718091851553528
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,2SVJ,C,19.64999961853028,43.03940582275391,845.7243079988842,7998.0,0.1057419739933588
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,2SVJ,D,19.64999961853028,76.01468658447266,1493.6885623875862,2542.0,0.5876036830793022
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,3PSVJ,A,19.64999961853028,18.721229553222656,367.8721535792429,695.0,0.5293124511931553
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,3PSVJ,B,19.64999961853028,16.653837203979492,327.24789470526235,305.0,1.072943917066434
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,3PSVJ,C,19.64999961853028,9.999999747378752e-05,0.0019649999122129,926.0,2.1220301427785677e-06
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2017,3PSVJ,D,19.64999961853028,79.84417724609375,1568.938052427606,438.0,3.5820503480082326
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,0SVJ,A,19.64999961853028,7.147546052932739,140.44927721355592,49142.0,0.0028580293275315
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,0SVJ,B,19.64999961853028,18.953347206115723,372.4332653700458,6523.0,0.0570953955802615
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,0SVJ,C,19.64999961853028,19.380714416503903,380.83103089114593,70693.0,0.0053871109005296
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,0SVJ,D,19.64999961853028,42.11493682861328,827.5584926166777,8764.0,0.0944270301935962
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,1SVJ,A,19.64999961853028,42.36236095428467,832.4203765917356,35202.0,0.0236469625757552
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,1SVJ,B,19.64999961853028,70.01518535614014,1375.7983655394803,7136.0,0.1927968561574383
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,1SVJ,C,19.64999961853028,192.18069458007807,3776.3505751874177,50266.0,0.0751273340864086
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,1SVJ,D,19.64999961853028,159.75514221191406,3139.1884835223614,10039.0,0.3126993210003348
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,2SVJ,A,19.64999961853028,102.50433027744292,2014.2100508494548,8813.0,0.2285498752807732
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,2SVJ,B,19.64999961853028,63.209083557128906,1242.0584677852314,2731.0,0.4547998783541674
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,2SVJ,C,19.64999961853028,140.84263610839844,2767.557745802828,12429.0,0.2226693817525808
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,2SVJ,D,19.64999961853028,123.14053344726562,2419.7114352643844,4005.0,0.6041726430123306
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,3PSVJ,A,19.64999961853028,9.999999747378752e-05,0.0019649999122129,987.0,1.990881370023256e-06
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,3PSVJ,B,19.64999961853028,96.50639462471008,1896.3506175612856,438.0,4.329567620002935
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,3PSVJ,C,19.64999961853028,6.582738876342773,129.35081640901993,1338.0,0.096674750679387
t-channel_mMed-600_mDark-20_rinv-0_alpha-peak_yukawa-1,600,20,0.0,1.0,2018,3PSVJ,D,19.64999961853028,56.42391586303711,1108.7299251846637,680.0,1.6304851840950936
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,0SVJ,A,10.380000114440918,9.999999747378752e-05,0.001037999985222,25140.0,4.1288782228401193e-08
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,0SVJ,B,10.380000114440918,9.999999747378752e-05,0.001037999985222,3538.0,2.933860896613923e-07
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,0SVJ,C,10.380000114440918,9.999999747378752e-05,0.001037999985222,31234.0,3.3233014830697515e-08
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,0SVJ,D,10.380000114440918,9.999999747378752e-05,0.001037999985222,4121.0,2.518806079160413e-07
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,1SVJ,A,10.380000114440918,31.80441379547119,330.1298188367173,18741.0,0.0176153790532371
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,1SVJ,B,10.380000114440918,25.37742805480957,263.4177061131395,3974.0,0.0662852808538348
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,1SVJ,C,10.380000114440918,11.616456031799316,120.5788149394748,23117.0,0.0052160234865888
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,1SVJ,D,10.380000114440918,15.50291633605957,160.92027334246632,4870.0,0.0330431772777138
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,2SVJ,A,10.380000114440918,20.32002103328705,210.92182065096145,4901.0,0.0430364865641627
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,2SVJ,B,10.380000114440918,2.145242214202881,22.26761442892939,1598.0,0.0139346773647868
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,2SVJ,C,10.380000114440918,10.400261878967283,107.95471949389592,6260.0,0.0172451628584498
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,2SVJ,D,10.380000114440918,56.09817886352539,582.2991030233206,2067.0,0.281712193044664
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,3PSVJ,A,10.380000114440918,9.999999747378752e-05,0.001037999985222,572.0,1.8146852888496608e-06
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,3PSVJ,B,10.380000114440918,8.309041500091553,86.24785172184465,269.0,0.3206239840960768
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,3PSVJ,C,10.380000114440918,62.65731048583984,650.3828900135776,748.0,0.8694958422641411
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2016,3PSVJ,D,10.380000114440918,57.91291046142578,601.1360172172062,344.0,1.7474884221430411
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,0SVJ,A,10.380000114440918,5.288439750671387,54.894005217182894,33092.0,0.0016588300863405
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,0SVJ,B,10.380000114440918,6.099636554718018,63.31422813602103,4860.0,0.013027618958029
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,0SVJ,C,10.380000114440918,9.999999747378752e-05,0.001037999985222,44985.0,2.3074357790863757e-08
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,0SVJ,D,10.380000114440918,9.999999747378752e-05,0.001037999985222,5899.0,1.7596202495711237e-07
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,1SVJ,A,10.380000114440918,9.53615379333496,98.98527746614307,22946.0,0.004313835852268
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,1SVJ,B,10.380000114440918,74.47013092041016,772.9999674762876,5215.0,0.1482262641373514
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,1SVJ,C,10.380000114440918,56.02051544189453,581.4929566979044,31472.0,0.0184765174344784
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,1SVJ,D,10.380000114440918,20.98186111450196,217.79172076971372,6792.0,0.0320659188412417
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,2SVJ,A,10.380000114440918,17.802658081054688,184.7915929187002,5918.0,0.0312253452042413
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,2SVJ,B,10.380000114440918,106.4367446899414,1104.8134220623106,1944.0,0.5683196615546865
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,2SVJ,C,10.380000114440918,57.25325393676758,594.2887824157624,7998.0,0.0743046739704629
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,2SVJ,D,10.380000114440918,91.24820709228516,947.1564000604484,2542.0,0.3726028324392008
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,3PSVJ,A,10.380000114440918,9.999999747378752e-05,0.001037999985222,695.0,1.4935251585928142e-06
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,3PSVJ,B,10.380000114440918,9.999999747378752e-05,0.001037999985222,305.0,3.4032786400721504e-06
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,3PSVJ,C,10.380000114440918,9.999999747378752e-05,0.001037999985222,926.0,1.1209503080151251e-06
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2017,3PSVJ,D,10.380000114440918,3.470613956451416,36.024973265145945,438.0,0.082248797409009
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,0SVJ,A,10.380000114440918,8.230353116989136,85.4310662962364,49142.0,0.001738453182537
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,0SVJ,B,10.380000114440918,9.999999747378752e-05,0.001037999985222,6523.0,1.5912923274904277e-07
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,0SVJ,C,10.380000114440918,11.2371244430542,116.64135300488942,70693.0,0.0016499703365947
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,0SVJ,D,10.380000114440918,15.5042724609375,160.93434991885442,8764.0,0.0183631161477469
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,1SVJ,A,10.380000114440918,53.72182250022888,557.6325237003505,35202.0,0.0158409330066573
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,1SVJ,B,10.380000114440918,12.387744426727297,128.5847885670942,7136.0,0.0180191688014425
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,1SVJ,C,10.380000114440918,73.8857650756836,766.9342499411505,50266.0,0.0152575150189223
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,1SVJ,D,10.380000114440918,73.92288208007812,767.3195244510134,10039.0,0.0764338603895819
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,2SVJ,A,10.380000114440918,11.17012357711792,115.9458840088032,8813.0,0.013156233292727
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,2SVJ,B,10.380000114440918,54.47529125213623,565.4535294313764,2731.0,0.2070499924684644
t-channel_mMed-700_mDark-20_rinv-0_alpha-peak_yukawa-1,700,20,0.0,1.0,2018,2SVJ,C,10.380000114440918,24.0985107421875,250.14254426176197,12429.0,0.0201257176170055
