mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
700,10,1290467.7280902863,7177.1129150390625,5807.7969970703125,1457.3013458251953,51.671369552612305,14493.882627487183,0.005561636884682267,0.004500536410674174,0.0011292815109617655,4.004080724209879e-05,0.011231495613560304
700,20,1398491.2246704102,6246.650390625,6917.8289794921875,1769.9391784667969,71.66845798492432,15006.087006568909,0.004466706891276476,0.004946637388534596,0.0012656062099237898,5.124698440765318e-05,0.010730197474142516
700,30,,,,,,,,,,,
700,40,,,,,,,,,,,
700,50,,,,,,,,,,,
700,60,,,,,,,,,,,
700,70,,,,,,,,,,,
700,80,,,,,,,,,,,
700,90,,,,,,,,,,,
700,100,,,,,,,,,,,
800,1,828467.6775693893,13960.487060546875,2139.3883666992188,91.92134284973145,0.00029999999242136255,16191.797070095818,0.016850973717532386,0.0025823437952050116,0.0001109534449423737,3.6211429913780274e-10,0.01954427131979407
800,5,828467.5405263901,9233.5224609375,5414.7708740234375,870.7583465576172,75.3924759460424,15594.444157464597,0.011145303840233406,0.006535887779722801,0.0010510470283535266,9.10023293104998e-05,0.018823240977620233
800,10,828467.4490976334,5952.9053955078125,4983.37548828125,1242.3530578613281,44.54429490119219,12223.178236551583,0.007185442713520871,0.006015173551729935,0.0014995798075283452,5.376710328174007e-05,0.01475396317606089
800,20,795270.3885984421,5228.600341796875,5142.5950927734375,1711.1249389648438,203.2522087097168,12285.572582244873,0.006574619672450756,0.006466473750942211,0.002151626620954004,0.00025557623120850973,0.015448296275555481
800,30,,,,,,,,,,,
800,40,,,,,,,,,,,
800,50,,,,,,,,,,,
800,60,,,,,,,,,,,
800,70,,,,,,,,,,,
800,80,,,,,,,,,,,
800,90,,,,,,,,,,,
800,100,,,,,,,,,,,
900,1,512722.94605255127,11109.672607421875,1688.8882446289062,96.21215057373047,6.54714604873152,12901.320148673243,0.021667984031054452,0.0032939587698027554,0.00018764939489146495,1.276936423294087e-05,0.025162361559981614
900,5,512722.99392938614,7079.5284423828125,4249.2000732421875,839.8337707519531,25.121312005612708,12193.683598382566,0.01380770616142452,0.008287516112116089,0.0016379873356481799,4.899587555668021e-05,0.02378220548474547
900,10,512722.9993224144,4924.731689453125,3439.9110107421875,1050.3377075195312,72.11698532104492,9487.097393035889,0.009605053207992173,0.006709102215598244,0.0020485480637841445,0.00014065486708485993,0.01850335835445942
